Address,City,State,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"317 COLUMBIA AVE.","Jersey City",NJ,40.758591,-74.050209,1,rooftop,317,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"315 COLUMBIA AVE.","Jersey City",NJ,40.758523,-74.050256,1,rooftop,315,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"313 COLUMBIA AVE.","Jersey City",NJ,40.758453,-74.050303,1,rooftop,313,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"311 COLUMBIA AVE.","Jersey City",NJ,40.758387,-74.050348,1,rooftop,311,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"309 COLUMBIA AVE.","Jersey City",NJ,40.758326,-74.050389,1,rooftop,309,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"307 COLUMBIA AVE.","Jersey City",NJ,40.758265,-74.050431,1,rooftop,307,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"305 COLUMBIA AVE.","Jersey City",NJ,40.758205,-74.050472,1,rooftop,305,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"303 COLUMBIA AVE.","Jersey City",NJ,40.758144,-74.050514,1,rooftop,303,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"301 COLUMBIA AVE.","Jersey City",NJ,40.758083,-74.050555,1,rooftop,301,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"299 COLUMBIA AVE.","Jersey City",NJ,40.758028,-74.050678,1,rooftop,299,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"638 LIBERTY AVE.","Jersey City",NJ,40.758201,-74.05111,1,rooftop,638,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"642 LIBERTY AVE.","Jersey City",NJ,40.758313,-74.051131,1,rooftop,642,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"640 LIBERTY AVE.","Jersey City",NJ,40.758374,-74.05109,1,rooftop,640,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"646 LIBERTY AVE.","Jersey City",NJ,40.758466,-74.05103,1,rooftop,646,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"648 LIBERTY AVE.","Jersey City",NJ,40.758558,-74.050969,1,rooftop,648,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"650 LIBERTY AVE.","Jersey City",NJ,40.758619,-74.050929,1,rooftop,650,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"652 LIBERTY AVE.","Jersey City",NJ,40.758684,-74.050886,1,rooftop,652,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"654 LIBERTY AVE.","Jersey City",NJ,40.758751,-74.050842,1,rooftop,654,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"656 LIBERTY AVE.","Jersey City",NJ,40.758818,-74.050797,1,rooftop,656,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"658 LIBERTY AVE.","Jersey City",NJ,40.758886,-74.050753,1,rooftop,658,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"660 LIBERTY AVE.","Jersey City",NJ,40.758953,-74.050709,1,rooftop,660,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"662 LIBERTY AVE.","Jersey City",NJ,40.75902,-74.050664,1,rooftop,662,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"664 LIBERTY AVE.","Jersey City",NJ,40.759087,-74.05062,1,rooftop,664,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"666 LIBERTY AVE.","Jersey City",NJ,40.759155,-74.050576,1,rooftop,666,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"668 LIBERTY AVE.","Jersey City",NJ,40.759222,-74.050531,1,rooftop,668,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"670 LIBERTY AVE.","Jersey City",NJ,40.759289,-74.050487,1,rooftop,670,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"672 LIBERTY AVE.","Jersey City",NJ,40.759356,-74.050443,1,rooftop,672,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"674 LIBERTY AVE.","Jersey City",NJ,40.759424,-74.050398,1,rooftop,674,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"676 LIBERTY AVE.","Jersey City",NJ,40.759491,-74.050354,1,rooftop,676,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"678 LIBERTY AVE.","Jersey City",NJ,40.759539,-74.050231,1,rooftop,678,"Liberty Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"187 NELSON AVE.","Jersey City",NJ,40.758243,-74.049211,1,rooftop,187,"Nelson Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"185 NELSON AVE.","Jersey City",NJ,40.758178,-74.049256,1,rooftop,185,"Nelson Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"183 NELSON AVE.","Jersey City",NJ,40.75812,-74.049296,1,rooftop,183,"Nelson Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"181 NELSON AVE.","Jersey City",NJ,40.758061,-74.049336,1,rooftop,181,"Nelson Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"179 NELSON AVE.","Jersey City",NJ,40.758,-74.049378,1,rooftop,179,"Nelson Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"175 NELSON AVE.","Jersey City",NJ,40.757878,-74.049462,1,rooftop,175,"Nelson Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"173 NELSON AVE.","Jersey City",NJ,40.757818,-74.049504,1,rooftop,173,"Nelson Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"171 NELSON AVE.","Jersey City",NJ,40.757757,-74.049546,1,rooftop,171,"Nelson Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"169 NELSON AVE.","Jersey City",NJ,40.757696,-74.049587,1,rooftop,169,"Nelson Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"167 NELSON AVE.","Jersey City",NJ,40.757636,-74.049697,1,rooftop,167,"Nelson Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"156 LEONARD ST.","Jersey City",NJ,40.757751,-74.049985,1,rooftop,156,"Leonard St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"158 LEONARD ST.","Jersey City",NJ,40.757783,-74.050065,1,rooftop,158,"Leonard St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"160 LEONARD ST.","Jersey City",NJ,40.757863,-74.050266,1,rooftop,160,"Leonard St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"302 COLUMBIA AVE.","Jersey City",NJ,40.758,-74.050348,1,rooftop,302,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"304 COLUMBIA AVE.","Jersey City",NJ,40.758061,-74.050306,1,rooftop,304,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"306 COLUMBIA AVE.","Jersey City",NJ,40.758122,-74.050265,1,rooftop,306,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"308-310 COLUMBIA AVE.","Jersey City",NJ,40.758199,-74.050202,1,rooftop,310,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"312 COLUMBIA AVE.","Jersey City",NJ,40.758305,-74.05013,1,rooftop,312,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"314 COLUMBIA AVE.","Jersey City",NJ,40.758353,-74.050067,1,rooftop,314,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"316 COLUMBIA AVE.","Jersey City",NJ,40.758414,-74.050025,1,rooftop,316,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"318 COLUMBIA AVE.","Jersey City",NJ,40.758478,-74.049981,1,rooftop,318,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"320 COLUMBIA AVE.","Jersey City",NJ,40.758546,-74.049935,1,rooftop,320,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"322 COLUMBIA AVE.","Jersey City",NJ,40.758614,-74.049889,1,rooftop,322,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"324 COLUMBIA AVE.","Jersey City",NJ,40.758681,-74.049843,1,rooftop,324,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"326 COLUMBIA AVE.","Jersey City",NJ,40.758749,-74.049797,1,rooftop,326,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"328 COLUMBIA AVE.","Jersey City",NJ,40.758817,-74.049751,1,rooftop,328,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"330 COLUMBIA AVE.","Jersey City",NJ,40.758883,-74.049706,1,rooftop,330,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"332 COLUMBIA AVE.","Jersey City",NJ,40.758952,-74.049656,1,rooftop,332,"Columbia Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"833 SECAUCUS ROAD","Jersey City",NJ,40.758167,-74.048404,1,rooftop,833,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"831 SECAUCUS ROAD","Jersey City",NJ,40.758139,-74.048322,1,rooftop,831,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"829 SECAUCUS ROAD","Jersey City",NJ,40.75811,-74.04824,1,rooftop,829,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"827 SECAUCUS ROAD","Jersey City",NJ,40.758082,-74.048157,1,rooftop,827,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"825 SECAUCUS ROAD","Jersey City",NJ,40.758053,-74.048075,1,rooftop,825,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"823 SECAUCUS ROAD","Jersey City",NJ,40.758024,-74.047993,1,rooftop,823,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"821 SECAUCUS ROAD","Jersey City",NJ,40.757996,-74.047911,1,rooftop,821,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"819 SECAUCUS ROAD","Jersey City",NJ,40.757967,-74.047829,1,rooftop,819,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"817 SECAUCUS ROAD","Jersey City",NJ,40.757939,-74.047746,1,rooftop,817,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"815 SECAUCUS ROAD","Jersey City",NJ,40.75791,-74.047664,1,rooftop,815,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"813 SECAUCUS ROAD","Jersey City",NJ,40.757881,-74.047582,1,rooftop,813,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"811 SECAUCUS ROAD","Jersey City",NJ,40.757853,-74.0475,1,rooftop,811,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"809 SECAUCUS ROAD","Jersey City",NJ,40.757824,-74.047418,1,rooftop,809,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"807 SECAUCUS ROAD","Jersey City",NJ,40.757796,-74.047335,1,rooftop,807,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"805 SECAUCUS ROAD","Jersey City",NJ,40.757767,-74.047253,1,rooftop,805,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"803 SECAUCUS ROAD","Jersey City",NJ,40.757738,-74.047171,1,rooftop,803,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"801 SECAUCUS ROAD","Jersey City",NJ,40.75771,-74.047089,1,rooftop,801,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"799 SECAUCUS ROAD","Jersey City",NJ,40.757681,-74.047007,1,rooftop,799,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"797 SECAUCUS RD.","Jersey City",NJ,40.757653,-74.046924,1,rooftop,797,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"795 SECAUCUS RD.","Jersey City",NJ,40.757624,-74.046842,1,rooftop,795,"Secaucus Rd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"3713 KENNEDY BLVD.","Jersey City",NJ,40.75723,-74.046337,1,rooftop,3713,"Kennedy Blvd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"3709 KENNEDY BLVD.","Jersey City",NJ,40.757095,-74.04639,1,rooftop,3709,"Kennedy Blvd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"3705 KENNEDY BLVD.","Jersey City",NJ,40.756974,-74.046474,1,rooftop,3705,"Kennedy Blvd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"3703 KENNEDY BLVD.","Jersey City",NJ,40.756913,-74.046515,1,rooftop,3703,"Kennedy Blvd","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"78 HAGUE ST.","Jersey City",NJ,40.757027,-74.046843,1,rooftop,78,"Hague St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"80 HAGUE STREET","Jersey City",NJ,40.757058,-74.046923,1,rooftop,80,"Hague St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"82 HAGUE STREET","Jersey City",NJ,40.75709,-74.047004,1,rooftop,82,"Hague St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"84 HAGUE STREET","Jersey City",NJ,40.757121,-74.047084,1,rooftop,84,"Hague St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"86 HAGUE STREET","Jersey City",NJ,40.757153,-74.047164,1,rooftop,86,"Hague St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"88 HAGUE STREET","Jersey City",NJ,40.757185,-74.047244,1,rooftop,88,"Hague St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"90 HAGUE STREET","Jersey City",NJ,40.757216,-74.047324,1,rooftop,90,"Hague St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"92 HAGUE ST.","Jersey City",NJ,40.757247,-74.047402,1,rooftop,92,"Hague St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
